Price Date,Modal Price (Rs./Quintal)
2015-07-18,2325.7894736842104
2015-07-19,2338.684210526316
2015-07-20,2351.5789473684213
2015-07-21,2364.4736842105262
2015-07-22,2377.3684210526317
2015-07-23,2390.2631578947367
2015-07-24,2403.157894736842
2015-07-25,2416.0526315789475
2015-07-26,2428.9473684210525
2015-07-27,2441.842105263158
2015-07-28,2454.7368421052633
2015-07-29,2467.6315789473683
2015-07-30,2480.5263157894738
2015-07-31,2493.421052631579
2015-08-01,2506.315789473684
2015-08-02,2519.2105263157896
2015-08-03,2532.1052631578946
2015-08-04,2545.0
2015-08-05,2527.0
2015-08-06,2725.0
2015-08-07,2890.0
2015-08-08,2800.0
2015-08-09,2100.0
2015-08-10,2019.0
2015-08-11,3100.0
2015-08-12,2730.0
2015-08-13,2477.0
2015-08-14,2513.0
2015-08-15,2491.7
2015-08-16,2470.4
2015-08-17,2449.1
2015-08-18,2427.8
2015-08-19,2406.5
2015-08-20,2385.2
2015-08-21,2363.9
2015-08-22,2342.6
2015-08-23,2321.3
2015-08-24,2300.0
2015-08-25,2800.0
2015-08-26,2758.0
2015-08-27,2631.6666666666665
2015-08-28,2505.3333333333335
2015-08-29,2379.0
2015-08-30,2252.6666666666665
2015-08-31,2126.3333333333335
2015-09-01,2000.0
2015-09-02,2700.0
2015-09-03,2541.0
2015-09-04,2226.0
2015-09-05,2995.0
2015-09-06,2600.0
2015-09-07,2925.0
2015-09-08,1830.0
2015-09-09,2488.0
2015-09-10,3250.0
2015-09-11,2790.0
2015-09-12,3175.0
2015-09-13,2890.0
2015-09-14,2565.0
2015-09-15,2352.0
2015-09-16,2901.5
2015-09-17,3451.0
2015-09-18,2795.0
2015-09-19,2761.8333333333335
2015-09-20,2728.6666666666665
2015-09-21,2695.5
2015-09-22,2662.3333333333335
2015-09-23,2629.1666666666665
2015-09-24,2596.0
2015-09-25,2562.8333333333335
2015-09-26,2529.6666666666665
2015-09-27,2496.5
2015-09-28,2463.3333333333335
2015-09-29,2430.1666666666665
2015-09-30,2397.0
2015-10-01,2874.0
2015-10-02,3351.0
2015-10-03,1700.0
2015-10-04,2300.5
2015-10-05,2901.0
2015-10-06,2951.0
2015-10-07,2975.0
2015-10-08,2999.0
2015-10-09,3023.0
2015-10-10,3047.0
2015-10-11,3071.0
2015-10-12,3095.0
2015-10-13,2100.0
2015-10-14,1825.0
2015-10-15,2970.0
2015-10-16,2508.0
2015-10-17,2716.5
2015-10-18,2925.0
