Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
4850,4850,4850,24 Aug 2023
4125,4125,4125,23 Aug 2023
3505,3505,3505,22 Aug 2023
4400,4400,4400,21 Aug 2023
3700,3700,3700,20 Aug 2023
5200,5200,5200,19 Aug 2023
3401,3401,3401,18 Aug 2023
4250,4250,4250,17 Aug 2023
3870,3870,3870,16 Aug 2023
4400,4400,4400,15 Aug 2023
5250,5250,5250,14 Aug 2023
3075,3075,3075,13 Aug 2023
4545,4545,4545,12 Aug 2023
3400,3400,3400,11 Aug 2023
4605,4605,4605,10 Aug 2023
5500,5500,5500,09 Aug 2023
4413,4413,4413,08 Aug 2023
4400,4400,4400,07 Aug 2023
3900,3900,3900,06 Aug 2023
5701,5701,5701,05 Aug 2023
3845,3845,3845,04 Aug 2023
3770,3770,3770,03 Aug 2023
3585,3585,3585,02 Aug 2023
4540,4540,4540,01 Aug 2023
3710,3710,3710,31 Jul 2023
4550,4550,4550,30 Jul 2023
4112,4112,4112,29 Jul 2023
4305,4305,4305,28 Jul 2023
5651,5651,5651,27 Jul 2023
4801,4801,4801,26 Jul 2023
3035,3035,3035,25 Jul 2023
4080,4080,4080,24 Jul 2023
5650,5650,5650,23 Jul 2023
4540,4540,4540,22 Jul 2023
4413,4413,4413,21 Jul 2023
3401,3401,3401,20 Jul 2023
3906,3906,3906,19 Jul 2023
5250,5250,5250,18 Jul 2023
4215,4215,4215,17 Jul 2023
4305,4305,4305,16 Jul 2023
4460,4460,4460,15 Jul 2023
4080,4080,4080,14 Jul 2023
4460,4460,4460,13 Jul 2023
3710,3710,3710,12 Jul 2023
4215,4215,4215,11 Jul 2023
4540,4540,4540,10 Jul 2023
5701,5701,5701,09 Jul 2023
5250,5250,5250,08 Jul 2023
5650,5650,5650,07 Jul 2023
5701,5701,5701,06 Jul 2023
4120,4120,4120,05 Jul 2023
3900,3900,3900,04 Jul 2023
4850,4850,4850,02 Jul 2023
