Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
3250,4950,3560,02 Apr 2023
2990,4950,3900,30 Mar 2023
3050,4850,3865,29 Mar 2023
3190,4850,3460,28 Mar 2023
3250,4860,3690,25 Mar 2023
2850,4950,3460,23 Mar 2023
2990,4780,3560,21 Mar 2023
3250,4850,3865,20 Mar 2023
3190,4850,3865,18 Mar 2023
3190,4850,3865,17 Mar 2023
3190,4850,3865,16 Mar 2023
3250,4950,3865,14 Mar 2023
3050,4850,3865,12 Mar 2023
3250,4860,4010,09 Mar 2023
3250,4760,3690,08 Mar 2023
3260,4960,3850,06 Mar 2023
3050,4950,3850,04 Mar 2023
3050,4750,3850,02 Mar 2023
3250,4850,3560,01 Mar 2023
3190,4850,4010,28 Feb 2023
3050,4850,3865,26 Feb 2023
3050,4850,4010,24 Feb 2023
3250,4760,3860,23 Feb 2023
3050,4950,3850,22 Feb 2023
3260,4950,3990,20 Feb 2023
3160,4870,3590,19 Feb 2023
3260,4960,3850,15 Feb 2023
3050,4850,3865,14 Feb 2023
3050,4850,3900,13 Feb 2023
3050,4850,3900,11 Feb 2023
3050,4750,3990,09 Feb 2023
3160,4870,3990,08 Feb 2023
3160,4960,3850,07 Feb 2023
3050,4870,3990,06 Feb 2023
3160,4870,3850,04 Feb 2023
3050,4850,3865,03 Feb 2023
3160,4870,3590,01 Feb 2023
2950,4690,3480,31 Jan 2023
3160,4960,3850,30 Jan 2023
3160,4750,3990,28 Jan 2023
3250,4950,3865,27 Jan 2023
3190,4780,3900,25 Jan 2023
3190,4850,3865,24 Jan 2023
3260,4650,3850,23 Jan 2023
2990,4780,3460,21 Jan 2023
3050,4650,3850,19 Jan 2023
3260,4950,3990,06 Jan 2023
3190,4850,3865,04 Jan 2023
3050,4650,3850,02 Jan 2023
3590,4750,3990,31 Dec 2022
3050,4850,3900,30 Dec 2022
3050,4760,3460,29 Dec 2022
3190,4850,3900,28 Dec 2022
3250,4850,3865,26 Dec 2022
3050,4870,3590,23 Dec 2022
2850,4780,3900,22 Dec 2022
2990,4950,3865,21 Dec 2022
3050,4650,3850,20 Dec 2022
3260,4950,3990,19 Dec 2022
3160,4650,3850,17 Dec 2022
3250,4860,3900,15 Dec 2022
3190,4850,3900,13 Dec 2022
3190,4760,3460,12 Dec 2022
3190,4850,3900,11 Dec 2022
3250,4860,3860,09 Dec 2022
3190,4850,3865,08 Dec 2022
3050,4850,4010,06 Dec 2022
2990,4950,3460,05 Dec 2022
2990,4860,3560,02 Dec 2022
3190,4950,3865,24 Nov 2022
3050,4850,3900,22 Nov 2022
3650,4850,4010,21 Nov 2022
3190,4210,3460,19 Nov 2022
3190,4760,3900,17 Nov 2022
3190,4860,4010,16 Nov 2022
3050,4850,3865,14 Nov 2022
3190,4850,3900,11 Nov 2022
3260,4960,3590,10 Nov 2022
3160,4750,3850,08 Nov 2022
3260,4950,3460,07 Nov 2022
3590,4950,3990,04 Nov 2022
3050,4650,3990,02 Nov 2022
2790,4650,3850,01 Nov 2022
3050,4850,3865,27 Oct 2022
3050,4850,3865,21 Oct 2022
3050,4870,3850,19 Oct 2022
3250,4950,3690,18 Oct 2022
3190,4850,3865,17 Oct 2022
3250,4850,4010,15 Oct 2022
3260,4950,3990,14 Oct 2022
2990,4950,3690,13 Oct 2022
3260,4960,3850,12 Oct 2022
3160,4650,3850,10 Oct 2022
3260,4960,3590,08 Oct 2022
3190,4850,4010,07 Oct 2022
3250,4850,4010,06 Oct 2022
3160,4750,3460,03 Oct 2022
3050,4760,3460,23 Sep 2022
3250,4860,3865,22 Sep 2022
3190,4780,3450,15 Sep 2022
3190,4760,3460,13 Sep 2022
3150,4780,3560,22 Aug 2022
2950,4950,3650,20 Aug 2022
3150,4780,3460,18 Aug 2022
2960,4950,3450,16 Aug 2022
2960,4950,3650,13 Aug 2022
2950,4950,3560,11 Aug 2022
3580,4650,3850,10 Aug 2022
3150,4650,3450,08 Aug 2022
2960,4950,3560,06 Aug 2022
3580,4850,3980,04 Aug 2022
3150,4750,3460,03 Aug 2022
2960,4650,3560,01 Aug 2022
3150,4750,3560,29 Jul 2022
3150,4950,3650,28 Jul 2022
